tconst,directors,writers
tt5835240,nm8177428,nm8177428
tt5836334,nm7570226,nm8243615
tt5836868,nm1642239,nm1642239
tt5836980,nm6667436,
tt5838486,,
tt5839054,nm2874588,nm3536055
tt5839824,nm1582625,nm4265146
tt5839922,nm7619490,
tt5841096,nm3314320,nm3311658
tt5843732,,
tt5844150,nm8251287,nm8251287
tt5844226,nm0612244,
tt5844260,,
tt5844760,nm8152978,"nm8152978,nm0698561"
tt5846048,,
tt5847254,nm8016057,nm0072726
tt5848346,nm1774345,"nm1774345,nm0824626"
tt5848918,nm3319114,nm3319114
tt5849622,nm4735619,"nm4178333,nm4735619"
tt5850064,nm6593005,"nm4785763,nm6851049,nm6593005"
tt5852486,nm6497707,nm6497707
tt5300336,nm3908216,nm6290095
tt5300692,,
tt5301368,nm0884717,
tt5303660,nm0183659,
tt5304228,nm0675786,"nm0119534,nm0675786"
tt5305784,nm4795528,nm4795528
tt5307964,nm0120814,nm0120814
tt5309778,,"nm4624411,nm7824459,nm7266920,nm7824460"
tt4696002,nm1097494,
tt4696712,,
tt4698072,nm4531133,nm4531133
tt4698932,nm0844038,nm0173250
tt4699934,"nm1475889,nm1934700","nm2048929,nm2345824,nm3149305,nm3974746,nm3811354,nm2466161,nm1054957,nm2454433"
tt4700632,nm4625649,
tt4700690,nm5703618,
tt4703032,nm6503847,"nm6503847,nm7271496"
tt4705824,nm5253620,nm4723589
tt4707098,nm3349262,nm3349262
tt4707682,nm1749013,
tt4712116,,
tt4713218,,
tt4713940,nm6995834,"nm6995834,nm7352366"
tt4715134,"nm0585086,nm0143663,nm3366626,nm1537173,nm0639802,nm3373725","nm1010064,nm2591926,nm2553419,nm7547254,nm2967350,nm5642614,nm4069822,nm0507062,nm3401704,nm1847976"
tt4715840,nm2260180,nm2260180
tt4717838,nm7352177,nm7352177
tt4717962,nm7355609,nm7355609
tt5313220,nm0119777,nm1253862
tt5315130,nm7340596,nm7829642
tt5317106,,
tt5317642,nm3744380,"nm1823578,nm3744380"
tt5317950,nm6894589,"nm7831883,nm6894589,nm7831884,nm6755007,nm3286715"
tt5319566,nm4320048,"nm4320048,nm3967150"
tt5319670,"nm7832516,nm3509865,nm4257015","nm7832516,nm7832518"
tt8978542,nm5687209,
tt8979748,,
tt8983232,nm8605976,nm8605976
tt8985078,nm6875826,
tt8987246,nm2998282,"nm4215053,nm4214643"
tt8988694,nm9900528,
tt8989442,nm10117496,
tt8992610,nm0945487,
tt8993194,"nm10119603,nm10119592",
tt8994058,nm9981467,
tt8996466,nm10120998,"nm10120998,nm10189170"
tt8997024,nm4425386,nm4425386
tt8998530,nm3703896,"nm10121573,nm3703896"
tt9074954,,
tt9075038,nm4067701,nm4067701
tt9075240,,nm9200050
tt9075286,nm8665993,nm7678106
tt9075716,nm1260607,nm2146307
tt9080838,,
tt9083074,nm0368339,"nm3610886,nm10113363,nm1367099,nm3996583,nm0501466,nm10010158,nm10113346"
tt7693434,nm2366871,"nm1921078,nm2366871"
tt7694034,nm4483166,nm4483166
tt7697716,nm5076037,nm8784370
tt7697806,nm9458981,
tt7699348,nm2392172,"nm3885784,nm2392172"
tt4030496,"nm5800494,nm4561259,nm4577634",
tt4030826,nm3701090,nm3701090
tt4030830,nm4525818,"nm0506100,nm3537986,nm4525818"
tt4032922,,
tt4033368,"nm4399575,nm3928268",nm3928268
tt4033858,nm0943445,nm0943445
tt4034436,,
tt4034446,,
tt4038574,nm4508350,nm4508350
tt4038578,,"nm4004998,nm0593735"
tt4042704,nm3379425,nm3379425
tt4044108,nm6776842,nm6776840
tt4045618,nm3605637,"nm3605637,nm5798619"
tt4046980,"nm2085707,nm2954598","nm2085707,nm2954598"
tt3259518,nm1071913,nm1071913
tt3261906,nm6016990,
tt3262442,nm6017605,"nm6017605,nm6017606"
tt3263848,nm0041161,"nm3346096,nm3657761"
tt3266916,nm6021921,nm6021921
tt3267068,nm3732915,nm3732915
tt3267200,nm5255735,nm5255735
tt3270896,nm0009629,"nm0009629,nm0116263,nm3028967"
tt3275172,nm6028001,nm6028001
tt3277696,nm3796124,
